"מספר בספר החינוך","תת-מספר","שם","קבוצה","סוג (עשה/לא תעשה)","החייבים במצוה","תדירות","רצון","ארוע","עצם או אדם","זמן החיוב","מקום החיוב","העונש למפר במזיד","העונש למפר בשוגג","המקור ביד החזקה - הלכות","המקור ביד החזקה - מספר המצוה","הערות","טעמי המצוה"
402,0,"מצוות קורבן מוסף של שבת","מוסף השבת",1,"ציבור","זמן",,"שבת",,"רק כשהמקדש קיים","בירושלים","אין","אין","תמידין ומוספים","41",,"ה' ציונו לעשות פעולה מיוחדת לכבוד היום למען נתפעל מתוך כך לתת אל ליבנו גודל היום וקדושתו."
403,0,"מצוות קורבן מוסף בכל חודש וחודש","מוסף החודש",1,"ציבור","זמן",,"חודש",,"רק כשהמקדש קיים","בירושלים","אין","אין","תמידין ומוספים","42",,"בחידושה של הלבנה יתחדשו גם פעולות האדם וראוי גם לנו לחדש ולהקריב קרבן נוסף על שאר הימים"
404,0,"מצוות קורבן מוסף ביום חג השבועות","מוסף שבועות",1,"ציבור","זמן",,"חג שבועות",,"רק כשהמקדש קיים","בירושלים","אין","אין","תמידין ומוספים","45",,"ה' ציונו לעשות פעולה מיוחדת לכבוד היום למען נתפעל מתוך כך לתת אל ליבנו גודל היום וקדושתו."
405,0,"מצוות שופר בראש השנה","שופר בראש השנה",1,"גבר מישראל","זמן",,"ראש השנה",,"בכל זמן","בכל מקום","אין","אין","שופר","170",,"השופר תפקידו להעיר טבעו של האדם ובקש רחמים על חטאיו ביום בו הוא עומד לדין לפני הקב""ה. ועוד שישבור יצרו הרע בתאוות העולם"
406,0,"מצוות דין הפרת נדרים","הפרת נדרים",1,"גבר מישראל","רצון","נדר",,,"בכל זמן","בכל מקום","אין","אין","שבועות","95","נמצא גם בהלכות נדרים","לזכור כל הזמן   גדולתו של הקב""ה ולזוכרו באימה וביראה"
407,0,"לא נחל דברינו בנדרים","קיום הנדר",0,"אדם מישראל","רצון","נדר",,,"בכל זמן","בכל מקום","אין","אין","נדרים","157",,"לזכור כל הזמן   גדולתו של הקב""ה ולזוכרו באימה וביראה"
408,0,"מצוות ישראל לתת ערים ללוויים לשבת בהן וכן להיות מקלט לרוצח בשגגה","ערי הלויים",1,"ציבור","ארוע",,"כניסה לארץ","לוי","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","אין","אין","שמיטה ויובל","183",,"שבט לוי השבט הנבחר לעבודת ה' אין לו חלק בנחלות ע""כ נותנים להם ערים לשבת בהם ומפני גודל מעלתם הם יכולים לקלוט כל הורג בשגגה"
409,0,"לא להרוג מחוייב קודם שיעמוד בדין","הוצאה להורג בלא משפט",0,"אדם מישראל","אדם",,,"חוטא","בכל זמן","בכל מקום","הרג בסיף","חטאת קבועה","רוצח ושמירת הנפש","292","נהרג אם יש עדים","דיני נפשות הוא דבר קשה מאוד ולכן אין להרוג אדם לפני שיופיע בבית דין"
410,0,"מצוות בית דין לשלוח מכה-נפש בשגגה מעירו ולהושיבו בערי מקלט","הגליית רוצח בשגגה",1,"שופט","אדם",,,"חוטא","רק כשהיובל נוהג","בארץ ישראל סוריא ועבר הירדן","אין","אין","רוצח ושמירת הנפש","225",,"עון הרציחה חמור מאוד ולכן אדם שרצח ראוי שמי שהרג בשגגה יגלה מביתו ויצטער על מעשיו וינצל בכך מיד גואל הדם וכן שלא יראו אותו תמיד משפחת הנרצח ויצטערו"
411,0,"לא יורה העד בדין שהעיד בו בדיני נפשות","עדות בדיני נפשות",0,"שופט","ארוע",,"דין נפשות",,"רק כשהמקדש קיים","בכל מקום","אין","אין","עדות","291",,"דיני נפשות הוא דבר קשה מאוד ולכן אין להרוג אדם לפני שיופיע בבית דין"
412,0,"לא נקח כופר להציל ממוות הרוצח","דין רוצח",0,"שופט","אדם",,,"חוטא","רק כשהמקדש קיים","בכל מקום","הרג בסיף","אין","רוצח ושמירת הנפש","296",,"אם יורשו אדוני הארץ לקחת כופר מיד הרוצח נמצא שכל הגדול מחברו בממון יהרגהו ויתן כפרו .וישוב העולם בטל"
413,0,"לא נקח כופר ממחוייב גלות לפטרו מן הגלות","הגליית רוצח בשגגה",0,"שופט","אדם",,,"חוטא","רק כשהמקדש קיים","בכל מקום","הרג בסיף","אין","רוצח ושמירת הנפש","295",,"אם יורשו אדוני הארץ לקחת כופר מיד הרוצח, נמצא שכל הגדול מחברו בממון יהרגהו ויתן כפרו .וישוב העולם בטל"
414,0,"לא למנות דיין שאינו יודע בדיני תורה","מינוי שופטים",0,"אדם מבני נוח","רצון","מינוי שופטים",,,"בכל זמן","בכל מקום","אין","אין","סנהדרין","284",,"שורש המצוה ברור ומובן לכל"
415,0,"לא יירא הדיין בדין","פחד בדין",0,"שופט","ארוע","מחשבה","דיון משפטי",,"בכל זמן","בכל מקום","אין","אין","סנהדרין","276",,"שורש המצוה מובן וברור לכל"
416,0,"לא להתאוות לממון חברו","חמדה",0,"אדם מישראל","עצם","מחשבה",,"רכוש הזולת","בכל זמן","בכל מקום","אין","אין","גזילה ואבדה","266",,"בהרחקת הגזל מבין בני האדם תועלת הכל"
417,0,"מצוות אחדות ה'","ייחוד ה'",1,"אדם מישראל","רגע",,,,"בכל זמן","בכל מקום","אין","אין","יסודי התורה","2",,"זה עיקר אמונת כל בני האדם והוא העמוד החזק שכל בן דעת סומך עליו."
418,0,"מצוות אהבת ה'","אהבת ה'",1,"אדם מישראל","רגע",,,,"בכל זמן","בכל מקום","אין","אין","יסודי התורה","3",,"קיום מצוות מתוך אהבת ה', יפה יותר מקיום מצוות רק מיראה"
419,0,"ללמוד תורה וללמדה","לימוד תורה",1,"גבר מישראל","רגע",,,"תורת ה'","בכל זמן","בכל מקום","אין","אין","תלמוד תורה","11",,"בלימוד תורה ידע האדם דרכי ה' יתברך וזולתו לא ידע ולא יבין ונחשב לבהמה"
420,0,"לקרות שמע פעמיים בכל יום","קריאת שמע",1,"אדם מישראל","זמן",,"יום","תורת ה'","בכל זמן","בכל מקום","אין","אין","קריאת שמע","10",,"רצה ה' לזכות עמו שיקבלו  עליהם מלכותו ויחודו בכל יום ולילה כל הימים שהם חיים"
421,0,"להניח תפילין על היד","תפילין",1,"גבר מישראל","זמן",,"יום","גוף","בכל זמן","בכל מקום","אין","אין","תפילין","13",,"האדם הוא חומרי ובעל תאוות וכדי לשמור עלינו כעם נבחר נתן לנו ה' מצוות המגינות עלינו שלא נטעה אחרי יצרינו והם תפילין מזוזות ציצית וכו'."
422,0,"להניח תפילין על הראש","תפילין",1,"גבר מישראל","זמן",,"יום","גוף","בכל זמן","בכל מקום","אין","אין","תפילין","12",,"האדם הוא חומרי ובעל תאוות וכדי לשמור עלינו כעם נבחר נתן לנו ה' מצוות המגינות עלינו שלא נטעה אחרי יצרינו והם תפילין מזוזות ציצית וכו'."
423,0,"לקבוע מזוזה בפתחים","מזוזה",1,"אדם מישראל","עצם",,,"בית","בכל זמן","בכל מקום","אין","אין","מזוזה","15",,"להיות זכרון לאדם באמונת ה' בכל עת בבואו לביתו ובצאתו."
424,0,"לא לנסות את ה' (לא לנסות נביא אמת יותר מדי / לא לקיים מצוות כנסיון)","בטחון בה'",0,"אדם מישראל","רגע",,,,"בכל זמן","בכל מקום","אין","אין","יסודי התורה","64",,"ענין הנבואה איננו ענין תמידי לכל נביא  כי לעיתים יתנבא  מעט ואם יטרידו אותו לתת אות ומפת זה יהיה סיבה לעם למרוד בו ולהקל בו ומתוך כך לזלזל בנביאים."
425,0,"להחרים שבעה עממין","מלחמה בכנענים",1,"ציבור","ארוע",,"כניסה לארץ","עמים אחרים","בכל זמן","בכל מקום","אין","אין","מלכים ומלחמות","187",,"שבעת עממים אלו הם עיקר העבודה זרה ולכן נצטוינו להורגם"
426,0,"לא לחון ולרחם על עובד אלילים","מלחמה בעובדי אלילים",0,"אדם מישראל","אדם",,,"עובד אלילים","בכל זמן","בכל מקום","אין","אין","עבודת כוכבים","3",,"תחילת מעשה של האדם הוא בהעלות הדברים על הלשון ולכן נמנענו מלמצא תועלת וחן בעובדי עבודה זרה וע""י כך נמנע מלהתחבר אליהם"
427,0,"לא להתחתן בעובד אלילים","ביאת עובד אלילים",0,"אדם מישראל","רצון","בחירת בת זוג",,"עובד אלילים","בכל זמן","בכל מקום","מלקות","אין","איסורי ביאה","52",,"האדם נמשך אחר עצת  אשתו ואם ישא בת נכרי תמשך אותו לעבודה זרה."
428,0,"לא ליהנות מעבודה זרה ומשמשיה","הנאה מאלילים",0,"אדם מישראל","עצם","שימוש",,"אלילים","בכל זמן","בכל מקום","מלקות","אין","עבודת כוכבים","22",,"להרחיק כל ענין עבודה זרה וכל הנטפל לה"
429,0,"לא ליהנות מתקרובת עבודה זרה","הנאת תקרובת אלילים",0,"אדם מישראל","עצם","שימוש",,"אלילים","בכל זמן","בכל מקום","מלקות","אין","עבודת כוכבים","25",,"להרחיק כל ענין עבודה זרה וכל הנטפל לה"
430,0,"לברך ה' אחר אכילת מזון","ברכת המזון",1,"אדם מישראל","רצון","אכילה",,"מזון","בכל זמן","בכל מקום","אין","אין","ברכות","19",,"התעוררות הנפש להכיר בטוב ה', על מנת ""להמשיך עלינו מברכותיו""."
431,0,"לאהוב את הגרים","אהבת גר",1,"אדם מישראל","אדם",,,"גר","בכל זמן","בכל מקום","אין","אין","דעות","207",,"רצה ה' ללמדנו לגמול טובה לאלו שעזבו את משפחתם ועמם כדי לחסות תחת כנפי השכינה ומכך תחול עלינו טובת האל ותדבק בנו."
432,0,"לירא מפני ה'","יראת ה'",1,"אדם מישראל","רגע",,,,"בכל זמן","בכל מקום","אין","אין","יסודי התורה","4",,"השמירה הגדולה מהחטא הוא יראת העונש"
433,0,"לעבוד ה' יתברך בתפילה בכל יום","תפילה אל ה'",1,"אדם מישראל","זמן",,"יום",,"בכל זמן","בכל מקום","אין","אין","תפלה","5",,"ה' פתח לנו פתח להשיג כל משאלותינו על ידי התפילה והוא יענה מהשמים לכל אשר יקראוהו באמת."
